,release_year,budget,runtime,is_sequel,director_name,director_popularity,lead_actor1,lead_actor1_popularity,primary_genre,genre2,studio_1,studio_2,brand_name,mpaa_rating,release_month,is_holiday_release,Distributor,First_Week_Income,First_Week_Profit
0,2009,40000000,111,0,Mira Nair,1.3916,Hilary Swank,2.281,Adventure,Drama,AE Electra Productions,Fox Searchlight Pictures,General,PG,10,0,Fox Searchlight Pictures,5305832.0,-34694168.0
1,2009,237000000,162,1,James Cameron,4.3403,Sam Worthington,4.0107,Action,Adventure,Dune Entertainment,Lightstorm Entertainment,Avatar,PG-13,12,1,Twentieth Century Fox,137094051.0,-99905949.0
2,2009,60000000,100,0,Henry Selick,1.6349,Dakota Fanning,7.9341,Animation,Family,LAIKA,Pandemonium,General,PG,2,0,Focus Features,20235921.0,-39764079.0
3,2009,175000000,96,0,Pete Docter,1.348,Ed Asner,1.4701,Animation,Comedy,Pixar,,General,PG,5,0,Walt Disney Studios Motion Pictures,93072435.0,-81927565.0
4,2009,70000000,153,0,Quentin Tarantino,3.8346,Brad Pitt,9.031,Drama,Thriller,Universal Pictures,The Weinstein Company,General,R,8,0,The Weinstein Company,53703427.0,-16296573.0
5,2009,40000000,108,0,Anne Fletcher,0.6359,Sandra Bullock,7.9497,Comedy,Romance,Touchstone Pictures,Mandeville Films,General,PG-13,6,0,Walt Disney Studios Motion Pictures,50595503.0,10595503.0
6,2009,35000000,100,1,Todd Phillips,0.923,Bradley Cooper,3.143,Comedy,,Legendary Pictures,Green Hat Films,The Hangover,R,6,0,Warner Bros.,71974102.0,36974102.0
7,2009,105000000,98,0,Ron Clements,0.6673,Anika Noni Rose,2.0802,Animation,Romance,Walt Disney Animation Studios,,General,G,12,1,Walt Disney Studios Motion Pictures,1444860.0,-103555140.0
8,2009,16000000,93,0,Lasse Hallström,1.3838,Richard Gere,4.7385,Drama,Family,Scion Films,Stage 6 Films,General,G,6,0,,,
9,2009,40000000,99,0,James McTeigue,0.5862,Rain,1.546,Action,Adventure,Legendary Pictures,Dark Castle Entertainment,General,R,9,0,Warner Bros.,23127980.0,-16872020.0
10,2009,100000000,90,1,Christopher Miller,0.59,Bill Hader,1.79,Animation,Comedy,Sony Pictures Animation,Columbia Pictures,Cloudy with a Chance of Meatballs,PG,9,0,Sony Pictures Releasing,35435752.0,-64564248.0
11,2009,50000000,121,0,Alex Proyas,0.9095,Nicolas Cage,6.3482,Action,Mystery,Summit Entertainment,Escape Artists,General,PG-13,3,0,Summit Entertainment,31515012.0,-18484988.0
12,2009,200000000,158,0,Roland Emmerich,0.8237,John Cusack,2.3427,Action,Adventure,Columbia Pictures,Centropolis Entertainment,General,PG-13,10,0,Sony Pictures Releasing,81721057.0,-118278943.0
13,2009,7500000,95,0,Marc Webb,0.7434,Joseph Gordon-Levitt,3.7463,Comedy,Drama,Fox Searchlight Pictures,Watermark Pictures,General,PG-13,7,0,,,
14,2009,200000000,96,0,Robert Zemeckis,1.7739,Jim Carrey,6.4951,Animation,Family,Walt Disney Pictures,ImageMovers Digital,General,PG,11,1,Walt Disney Studios Motion Pictures,40963844.0,-159036156.0
15,2009,26000000,105,0,Jim Sheridan,0.6372,Tobey Maguire,4.2016,Drama,Thriller,Lionsgate,Relativity Media,General,R,12,1,Lionsgate,12798898.0,-13201102.0
16,2009,10000000,94,0,David Bowers,0.2114,Freddie Highmore,3.606,Animation,Action,Summit Entertainment,Imagi Animation Studios,General,PG,10,0,Summit Entertainment,7855767.0,-2144233.0
17,2009,15000000,92,0,Woody Allen,1.2222,Larry David,0.7924,Comedy,Romance,Wild Bunch,Gravier Productions,General,PG-13,6,0,,,
18,2009,15000000,90,0,Brian Koppelman,0.554,Michael Douglas,3.7231,Comedy,Drama,Paul Schiff Productions,Smartest Man Productions,General,R,9,0,Anchor Bay Films,132556.0,-14867444.0
19,2009,50000000,118,0,Tom Tykwer,0.7627,Clive Owen,2.9839,Action,Thriller,Studio Babelsberg,Atlas Entertainment,General,R,2,0,Sony Pictures Releasing,12567284.0,-37432716.0
20,2009,150000000,139,1,Ron Howard,2.9724,Tom Hanks,14.407,Thriller,Mystery,Columbia Pictures,Imagine Entertainment,Angels & Demons,PG-13,4,0,Sony Pictures Releasing,60110626.0,-89889374.0
21,2009,50000000,131,1,Chris Weitz,0.5979,Kristen Stewart,6.9117,Adventure,Fantasy,Summit Entertainment,Temple Hill Entertainment,The Twilight Saga,PG-13,11,1,Summit Entertainment,188077665.0,138077665.0
22,2009,30000000,112,0,Neill Blomkamp,0.5274,Sharlto Copley,2.0236,Science Fiction,,TriStar Pictures,Block / Hanson,General,R,8,0,TriStar Pictures,54590771.0,24590771.0
23,2009,20000000,122,1,Jaume Collet-Serra,0.7757,Vera Farmiga,6.1041,Horror,Thriller,Dark Castle Entertainment,Appian Way,Orphan,R,7,0,Warner Bros.,19541393.0,-458607.0
